fecha,total
2015-12-01,550.2189999999999
2016-01-01,575.6279999999999
2016-02-01,668.4640000000002
2016-03-01,731.4900000000001
2016-04-01,838.36
2016-05-01,889.9609999999998
2016-06-01,851.739
2016-07-01,796.0110000000002
2016-08-01,739.1400000000001
2016-09-01,684.356
2016-10-01,646.919
2016-11-01,640.335
2016-12-01,667.4500000000002
2017-01-01,647.525
2017-02-01,760.2750000000001
2017-03-01,777.396
2017-04-01,760.21
2017-05-01,733.8450000000001
2017-06-01,696.8889999999999
2017-07-01,661.851
2017-08-01,621.118
2017-09-01,576.0699999999999
2017-10-01,534.794
2017-11-01,501.216
2017-12-01,480.24399999999997
2018-01-01,480.3510000000001
2018-02-01,479.0039999999999
2018-03-01,693.986
2018-04-01,820.574
2018-05-01,857.8549999999999
2018-06-01,864.5500000000002
2018-07-01,822.324
2018-08-01,776.2470000000001
2018-09-01,734.008
2018-10-01,700.8119999999999
2018-11-01,720.0330000000001
2018-12-01,713.756
2019-01-01,702.5173333333332
2019-02-01,721.4846666666666
2019-03-01,712.133
2019-04-01,722.2673333333332
2019-05-01,701.7303333333334
2019-06-01,647.7360000000001
2019-07-01,589.0576666666667
2019-08-01,538.0766666666667
2019-09-01,498.9706666666666
2019-10-01,464.81433333333337
2019-11-01,496.2853333333333
2019-12-01,625.6626666666666
2020-01-01,647.9884444444443
2020-02-01,676.8082222222222
2020-03-01,703.7856666666667
2020-04-01,802.1281111111111
2020-05-01,812.0381111111113
2020-06-01,776.7286666666666
2020-07-01,723.5978888888889
2020-08-01,674.4772222222223
2020-09-01,642.4188888888889
2020-10-01,647.1864444444444
2020-11-01,678.6137777777777
2020-12-01,753.7825555555555
2021-01-01,787.4642592592593
2021-02-01,793.1766296296296
2021-03-01,803.781888888889
